other,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,VIN
2016 Chrysler 300,excellent,,rwd,gas,89190,red,,clean,automatic,sedan,2C3CCAEG8GH238365
2013 RAM 1500,excellent,,4wd,gas,158596,white,,clean,automatic,pickup,1C6RR7KT3DS531885
2014 Jeep Grand Cherokee,excellent,,,gas,156750,blue,,clean,automatic,SUV,1C4RJFBG9EC174818
2008 Saturn Outlook,excellent,,4wd,gas,152577,white,,clean,automatic,SUV,5GZEV13758J150101
2007 Saturn Aura,excellent,,fwd,gas,144441,,,clean,automatic,sedan,1G8ZS57N27F146451
2017 Volkswagen Passat,excellent,4 cylinders,fwd,gas,39672,white,mid-size,clean,automatic,sedan,1VWBT7A3XHC076799
2015 International Durastar|delivery available||more ads  by this user        |,,,,diesel,273542,white,,clean,automatic,other,
2007 Pontiac g5,,4 cylinders,fwd,gas,24000,,,clean,automatic,,
2009 Toyota PRIUS||more ads  by this user        |,excellent,4 cylinders,,gas,200214,,,clean,other,sedan,JTDKB20U093522432
2011 Chevrolet TRAVERSE LS||more ads  by this user        |,excellent,6 cylinders,4wd,gas,146621,,,clean,automatic,SUV,1GNKVEED0BJ328056
2015 Ford FIESTA SE||more ads  by this user        |,excellent,4 cylinders,,gas,93444,,,clean,automatic,sedan,3FADP4BJ4FM141403
2012 Hyundai ELANTRA GLS||more ads  by this user        |,excellent,4 cylinders,,gas,84587,,,clean,automatic,sedan,KMHDH4AE8CU294980
2014 Chevrolet MALIBU 1LT||more ads  by this user        |,excellent,4 cylinders,,gas,121577,,,clean,automatic,sedan,1G11C5SL0EF233115
2014 Ford ESCAPE SE||more ads  by this user        |,excellent,4 cylinders,4wd,gas,114017,,,clean,automatic,SUV,1FMCU9GX6EUC54719
2018 Ford ESCAPE SE||more ads  by this user        |,excellent,4 cylinders,,gas,154051,,,clean,automatic,SUV,1FMCU0GD1JUD06060
2012 Ford FOCUS SEL||more ads  by this user        |,excellent,4 cylinders,,gas,117639,,,clean,automatic,sedan,1FAHP3H29CL405935
2015 Buick ENCORE||more ads  by this user        |,excellent,4 cylinders,4wd,gas,88684,,,clean,automatic,SUV,KL4CJGSBXFB176790
2014 Ford FUSION SE||more ads  by this user        |,excellent,4 cylinders,,gas,25098,,,clean,automatic,sedan,1FA6P0H71E5405372
2002 ford f250 super duty,good,10 cylinders,4wd,gas,170000,black,full-size,clean,automatic,pickup,
2002 Isuzu FTR|delivery available,excellent,6 cylinders,rwd,diesel,62368,white,mid-size,clean,automatic,other,
1994 chevy 1500,,,,gas,174000,,,clean,automatic,,
2006 bmw 325xi,excellent,6 cylinders,4wd,gas,156000,blue,mid-size,clean,automatic,sedan,
2018 Ford E-350|delivery available||more ads  by this user        |,,,,gas,113333,white,,clean,automatic,other,
2006 honda pilot ex-l,excellent,6 cylinders,4wd,gas,253000,silver,full-size,clean,automatic,SUV,
2008 honda accord ex-l v6,excellent,6 cylinders,fwd,gas,180000,grey,mid-size,clean,automatic,coupe,
2015 Ford E-350|delivery available||more ads  by this user        |,,,,gas,175665,white,,clean,automatic,other,
2011 honda cr-v,good,4 cylinders,4wd,gas,121700,,,clean,automatic,,
1979 Chevrolet Corvette,excellent,8 cylinders,rwd,gas,65263,yellow,mid-size,clean,automatic,other,
2008 ford edge limited awd,,,,gas,180000,,,clean,automatic,,
2014 Subaru Crosstrek Limited,,,,gas,126700,,,clean,automatic,,
2000 mazda miata mx-5,excellent,4 cylinders,rwd,gas,66000,red,compact,clean,manual,convertible,
2003 honda accord,,,,gas,300000,,,clean,automatic,,
2021 Buick Encore GX,excellent,3 cylinders,4wd,gas,16865,red,compact,clean,automatic,SUV,KL4MMCSL8MB080716
2020 Buick Encore,excellent,4 cylinders,fwd,gas,11200,,compact,clean,automatic,SUV,KL4CJASB7LB049178
2008 Ford Fusion SEL AWD,good,6 cylinders,4wd,gas,235,black,mid-size,clean,automatic,sedan,
2012 Ford F-150,excellent,,4wd,gas,128405,red,,clean,automatic,pickup,1FTFW1ET4CFC85823
2006 HUMMER H3,excellent,,4wd,gas,217839,blue,,clean,automatic,SUV,5GTDN136X68142125
2011 Chevrolet Silverado 2500HD,excellent,,4wd,gas,165812,silver,,clean,automatic,pickup,1GC1KXC86BF241697
2015 Chevrolet Cruze,excellent,,fwd,gas,158715,,,clean,automatic,sedan,1G1PG5SB3F7160341
2008 Ford F-250 SD,excellent,,4wd,diesel,190202,,,clean,automatic,pickup,1FTSW21R38EA34433
2005 2005 Toyota Avalon,good,6 cylinders,fwd,gas,152480,white,full-size,clean,automatic,sedan,4T1BK36BX5U009331
